latitude,longitude,altitude,speed,date,time,stop,humidity,temperature,tyre_pressure,CO2_concentration,CH4_concentration
39.999719,116.327369,0,191,2008-11-01,17:23:55,False,75.09762700785465,31.848754180469754,32.35878554699713,410.6046829469833,1.4348977482198668
39.999715,116.327414,0,189,2008-11-01,17:24:00,False,75.43037873274484,28.995012574079837,31.90739368911209,403.08428469766636,1.0716502967061632
39.999753,116.327453,0,185,2008-11-01,17:24:05,False,75.20552675214329,30.304629337671347,32.073158422217446,409.831601235617,1.3008117452224262
39.999815,116.327521,0,207,2008-11-01,17:24:10,False,75.0897663659938,30.36816772508736,32.79334258608068,404.3955095513581,1.0357100597285719
39.999872,116.327503,0,199,2008-11-01,17:24:15,False,74.84730959867781,30.28900762316349,32.98067789479341,402.77820467758335,1.4393678995410775
39.999882,116.327514,0,20,2008-11-01,17:24:20,True,75.2917882261333,28.892326530562475,31.433793968796948,404.69786644178623,1.1883541079221436
39.999873,116.327274,0,187,2008-11-01,17:24:25,False,74.87517442252539,31.81099604606794,32.3261564062002,406.17979742776873,1.4775715424344251
39.999832,116.327187,0,182,2008-11-01,17:24:30,False,75.78354600156416,29.78850151447051,31.5266447534743,403.21506706027225,0.8195964050444443
39.999835,116.327084,0,177,2008-11-01,17:24:35,False,75.92732552100206,31.38563468988451,31.04130199893146,402.1311375340206,0.8002493347597357
39.999834,116.326976,0,167,2008-11-01,17:24:40,False,74.76688303765155,30.797917101270016,32.516757307672286,399.8945188804848,0.8577239714409939
39.999849,116.326846,0,163,2008-11-01,17:24:45,False,75.58345007616533,29.18974780342053,31.64003430164493,405.021228468494,0.9006007109678433
39.999861,116.326714,0,163,2008-11-01,17:24:50,False,75.05778983950582,31.25519127880991,31.7669277883438,400.8948956700919,1.0967276184306072
39.999934,116.326513,0,129,2008-11-01,17:24:55,False,75.13608912218787,29.58602296338794,32.176634227107215,399.62440164796504,0.8595999457680779
39.99997,116.326346,0,123,2008-11-01,17:25:00,False,75.85119327658532,31.524412788444646,32.66209691047238,402.3728146195263,1.2624858613980487
39.999961,116.32618,0,114,2008-11-01,17:25:05,False,74.14207211639578,30.32509149054344,32.2579636871823,399.40525961154606,1.448308625061378
39.999944,116.325985,0,107,2008-11-01,17:25:10,False,74.17425859940307,31.52694144741941,32.74530131089479,410.95950377837994,1.1675897634806076
39.999952,116.325783,0,109,2008-11-01,17:25:15,False,74.04043679488065,30.770126360311064,31.54708406963127,410.93067050818473,1.4382144194735702
39.999913,116.325583,0,109,2008-11-01,17:25:20,False,75.66523969109588,30.901017119278563,32.59609366782513,403.7446577252941,1.165134060883157
39.999956,116.325422,0,106,2008-11-01,17:25:25,False,75.5563135018997,30.00529752770681,31.371271888611904,399.6716877609251,1.2493122417782025
40.000004,116.325301,0,101,2008-11-01,17:25:30,False,75.74002429649364,31.82433453889289,32.905583313943886,398.8048820112247,1.3042964166752395
40.00006,116.325187,0,92,2008-11-01,17:25:35,False,75.95723668446553,30.57596079691855,32.37497655277563,404.2396177136599,1.2044512563096554
40.000078,116.325099,0,16,2008-11-01,17:25:40,True,78.0,25.0,30.0,411.096002399821,1.2648610016704485
40.000122,116.32504,0,76,2008-11-01,17:25:45,False,74.92295872450586,30.425572856511696,32.894741180977846,405.5017806475418,0.9840267855426945
40.000121,116.325024,0,67,2008-11-01,17:25:50,False,75.56105835257291,28.076772793237332,32.46171161354032,403.48581295337345,1.3582387942613292
40.00012,116.325007,0,67,2008-11-01,17:25:55,False,74.23654885173787,29.2062992666982,31.50788328519005,401.2891295913029,1.2973091666757346
40.000124,116.324995,0,63,2008-11-01,17:26:00,False,75.27984204265505,30.64069414997074,31.426623954734964,398.9368096171521,0.8360155965900486
40.000607,116.324243,0,62,2008-11-01,17:26:05,False,74.2867065748181,29.160310428841772,32.03640142786133,404.767942695558,1.0399238633132755
40.000702,116.324284,0,68,2008-11-01,17:26:10,False,75.88933783409917,30.47206171599537,31.051325436109064,398.56975912579577,1.439304557262122
40.000825,116.324262,0,68,2008-11-01,17:26:15,False,75.04369664350014,29.715074803783065,31.41494015088222,402.2316158141993,1.4736652090504054
40.000892,116.324346,0,73,2008-11-01,17:26:20,False,74.82932387998105,28.5418962568898,31.84937093750301,403.10092973687927,1.1788726488848906
40.000915,116.324366,0,75,2008-11-01,17:26:25,False,74.52911122420926,29.19312930382412,31.748339960668453,406.6881939240254,0.9716988862118666
40.000977,116.324451,0,81,2008-11-01,17:26:30,False,75.54846737886844,30.27985964280506,31.92715084872962,411.1391569797473,1.0782388994032488
40.000994,116.324488,0,87,2008-11-01,17:26:35,False,74.9123006644331,30.36349104499269,31.555257412589462,406.8093540201157,1.3922969175471005
40.000994,116.324488,0,87,2008-11-01,17:26:38,False,75.1368678977373,30.29730099539832,32.17356869291634,400.1218598725868,1.089830548124063
40.000998,116.324493,0,93,2008-11-01,17:26:40,False,74.0375796008727,30.612803279428533,32.72771121184646,408.07579073649845,1.050623855830958
40.001027,116.3245,0,93,2008-11-01,17:26:45,False,75.23527099415175,30.60841308000676,31.235063711924067,408.0260022720931,1.326930482810035
40.001031,116.324512,0,95,2008-11-01,17:26:50,False,75.22419144544484,29.725673741735896,32.034758214308226,400.68262456809697,1.0715113937296699
40.001073,116.324429,0,97,2008-11-01,17:26:55,False,75.23386799374951,31.586186383404254,31.264136212690307,407.1471546651053,1.2740513441923336
40.001091,116.324384,0,96,2008-11-01,17:27:00,False,75.88749615702925,29.470247480191585,32.43371936238519,406.1036649789141,1.334765865630993
40.001196,116.32438,0,88,2008-11-01,17:27:05,False,75.36364059820697,29.743459701062505,31.79211940561459,409.92528133053264,1.497264552211191
40.001339,116.324363,0,79,2008-11-01,17:27:10,False,74.71901580114758,31.56769342006269,32.130842623717015,409.12337119345244,1.0770906856015134
40.001398,116.32434,0,79,2008-11-01,17:27:15,False,74.87406390759868,31.22477595618434,31.36655967242816,403.0334367081277,1.064454775470551
40.001446,116.324328,0,78,2008-11-01,17:27:20,False,75.39526239185453,30.815554334161465,31.28969551868676,401.4920372095877,1.3037839344614846
40.001462,116.324318,0,76,2008-11-01,17:27:25,False,74.12045094325853,28.400907549249204,31.97611256129791,398.63030066590915,1.3548258899840264
40.001618,116.32423,0,73,2008-11-01,17:27:30,False,75.33353343089134,31.677930454978693,31.711225475699912,407.1702009937006,1.3723643238289633
40.001728,116.32418,0,69,2008-11-01,17:27:35,False,75.34127573923632,30.856965198196445,32.88086389050562,407.27490440962407,1.2127592220111307
40.001924,116.324167,0,65,2008-11-01,17:27:40,False,74.42076512214769,31.995388026271467,32.53065050761393,411.6214364765037,0.9134287227348178
